Jugador,Equipo,Posicion,Puntos,Valor,Valor_Anterior,Estado,Fecha
Pablo Ramón,Racing,Desc,35,1559250,1542655,Disponible,2026-09-07
Paco Cortés,Levante,Desc,7,571517,576316,Disponible,2026-09-07
Pape Gueye,Villarreal,Desc,50,41407427,42405881,Disponible,2026-09-07
Pau Cubarsí,Barcelona,Desc,28,67592612,67941275,Disponible,2026-09-07
Pau Navarro,Villarreal,Desc,0,5087467,5238230,Disponible,2026-09-07
Pedro Bigas,Elche,Desc,-4,2867758,2948768,Disponible,2026-09-07
Pedro Díaz,Rayo,Desc,17,1235064,1255422,Disponible,2026-09-07
Pedro Felipe,Racing,Desc,1,1382799,1421402,Disponible,2026-09-07
Peio Canales,Athletic,Desc,28,9008613,9270455,Lesionado,2026-09-07
Pepelu,Valencia,Desc,38,9969015,10070770,Disponible,2026-09-07
Peque,Sevilla,Desc,21,2904613,2924660,Disponible,2026-09-07
Pere Milla,Espanyol,Desc,0,5598192,5760174,Disponible,2026-09-07
Petar Ratkov,Levante,Desc,0,3938735,4048490,Disponible,2026-09-07
Pierre-Emerick Aubameyang,Deportivo,Desc,79,75236925,71620053,Disponible,2026-09-07
Pol Lozano,Espanyol,Desc,3,1352008,1389328,Disponible,2026-09-07
Quilindschy Hartman,Espanyol,Desc,-1,4543239,4685124,Disponible,2026-09-07
Rafa Rodríguez,Málaga,Desc,10,3414617,3516851,Disponible,2026-09-07
Rafel Bauzà,Espanyol,Desc,13,609923,616323,Disponible,2026-09-07
Ramón Enríquez,Málaga,Desc,-2,573301,578175,Disponible,2026-09-07
Ramón Terrats,Getafe,Desc,40,6739490,6506730,Disponible,2026-09-07
Randy Nteka,Rayo,Desc,10,1199825,1224647,Disponible,2026-09-07
Raphinha,Barcelona,Desc,93,129244637,127336088,Disponible,2026-09-07
Raúl García,Osasuna,Desc,16,1627086,1639002,Disponible,2026-09-07
Raúl Jiménez,Valencia,Desc,0,1561503,0,Disponible,2026-09-07
Raul Moro,Osasuna,Desc,4,10374224,10687920,Disponible,2026-09-07
Renato Veiga,Villarreal,Desc,12,26387538,26956021,Disponible,2026-09-07
Robbie Ure,Sevilla,Desc,10,12993276,13017281,Disponible,2026-09-07
Robert Navarro,Athletic,Desc,42,3018187,2564916,Disponible,2026-09-07
Robin Le Normand,Atlético,Desc,15,11073744,11310417,Disponible,2026-09-07
Rockson Yeboah,Osasuna,Desc,-4,1049975,1074710,Disponible,2026-09-07
Rodrigo Mendoza,Atlético,Desc,23,1140985,1157259,Disponible,2026-09-07
Rodrigo Riquelme,Betis,Desc,54,13362285,12775764,Disponible,2026-09-07
Roger Hinojo,Espanyol,Desc,30,4992401,5128899,Disponible,2026-09-07
Romain Del Castillo,Osasuna,Desc,0,12918711,13290687,Disponible,2026-09-07
Rubén Gómez,Villarreal,Desc,0,470094,470667,Disponible,2026-09-07
Rubén Vargas,Sevilla,Desc,2,13729334,14153982,Duda,2026-09-07
Ryunosuke Sato,Valencia,Desc,21,9329452,9593057,Disponible,2026-09-07
Saba Sazonov,Getafe,Desc,7,887264,905219,Disponible,2026-09-07
Salvi Esquivel,Atlético,Desc,0,566462,571051,Disponible,2026-09-07
Santi Comesaña,Villarreal,Desc,19,21412797,22020380,Disponible,2026-09-07
Santiago Mouriño,Villarreal,Desc,17,23321137,23977138,Disponible,2026-09-07
Sebastián Boselli,Getafe,Desc,-3,1434984,1475761,Disponible,2026-09-07
Sebastián Cáceres,Celta,Desc,0,5500000,5500000,Disponible,2026-09-07
Selu Diallo,Alavés,Desc,0,646716,654649,Disponible,2026-09-07
Sergio Camello,Rayo,Desc,72,7545489,6655411,Disponible,2026-09-07
Sergio Canales,Racing,Desc,52,25975001,25725850,Disponible,2026-09-07
Sergio Carreira,Celta,Desc,16,6392208,6295710,Disponible,2026-09-07
Sergio Gómez,Real Sociedad,Desc,26,15039842,14867814,Disponible,2026-09-07
Sergio Herrera,Osasuna,Desc,18,36290669,36188770,Disponible,2026-09-07
Sergio José Lozano,Rayo,Desc,0,515527,517993,Disponible,2026-09-07
Sergio Martínez,Real Madrid,Desc,28,1736327,1771037,Disponible,2026-09-07
Sergio Mestre,Real Madrid,Desc,0,677102,677860,Disponible,2026-09-07
Simon Eriksson,Racing,Desc,0,1636475,1683754,Disponible,2026-09-07
Stole Dimitrievski,Valencia,Desc,34,21031889,20974100,Disponible,2026-09-07
Takefusa Kubo,Real Sociedad,Desc,22,24588439,24957883,Disponible,2026-09-07
Tani Oluwaseyi,Villarreal,Desc,0,1564856,1603606,Disponible,2026-09-07
Tete Morente,Elche,Desc,16,1565858,1574266,Disponible,2026-09-07
Teun Gijselhart,Deportivo,Desc,3,1558996,1604940,Disponible,2026-09-07
Theo Folgado,Real Sociedad,Desc,0,701836,702606,Disponible,2026-09-07
Thibaut Courtois,Real Madrid,Desc,29,63315380,63339903,Disponible,2026-09-07
Toni Martinez,Alavés,Desc,19,22100309,22687765,Duda,2026-09-07
Trent Alexander-Arnold,Real Madrid,Desc,30,22240607,22076183,Disponible,2026-09-07
Tyrhys Dolan,Espanyol,Desc,24,14141999,13886392,Disponible,2026-09-07
Umar Sadiq,Valencia,Desc,19,4284952,4412322,Lesionado,2026-09-07
Unai López,Rayo,Desc,57,10307322,9759645,Disponible,2026-09-07
Unai Marrero,Real Sociedad,Desc,0,717994,728897,Disponible,2026-09-07
Unai Santos,Osasuna,Desc,0,517028,519557,Disponible,2026-09-07
Unai Simón,Athletic,Desc,64,46122750,45330916,Disponible,2026-09-07
Valentín Gómez,Betis,Desc,23,1800593,1813021,Disponible,2026-09-07
Vanja Drkusic,Espanyol,Desc,11,2368094,2431295,Disponible,2026-09-07
Víctor Chust,Elche,Desc,2,4818666,4935447,Disponible,2026-09-07
Víctor García,Levante,Desc,3,1199117,1224303,Disponible,2026-09-07
Ville Koski,Alavés,Desc,36,6219812,5708975,Disponible,2026-09-07
Williot Swedberg,Celta,Desc,31,5413475,5530221,Disponible,2026-09-07
Wojciech Szczesny,Barcelona,Desc,0,1434679,1468763,Disponible,2026-09-07
Xanet Oláiz,Alavés,Desc,2,484150,485309,Disponible,2026-09-07
Xavi Espart,Barcelona,Desc,63,10561093,9079943,Disponible,2026-09-07
Yangel Herrera,Real Sociedad,Desc,28,3592035,3600994,Disponible,2026-09-07
Yanis Musuayi,Levante,Desc,0,1507201,1550987,Disponible,2026-09-07
Yassir Zabiri,Racing,Desc,36,7721909,7421072,Disponible,2026-09-07
Yoel Lago,Celta,Desc,37,2228512,2009399,Disponible,2026-09-07
Youssouf Fofana,Sevilla,Desc,1,15141152,15341054,Disponible,2026-09-07
Zaid Romero,Getafe,Desc,28,31459699,31309319,Disponible,2026-09-07
Zakaria Eddahchouri,Deportivo,Desc,13,1075397,1089109,Disponible,2026-09-07
